Business_Name,Street_Address,Zip_Code,rating
Waldy's Pizza,800 Avenue Of The Americas,10001,['result-rating four ']
Pita Grill,69 New St,10004,['result-rating three half ']
Johnny Rock,930 3rd Ave,10022,['result-rating two ']
Luke's Lobster East Village,93 E 7th St Frnt A,10009,['result-rating four ']
Menchanko-Tei Restaurant,131 E 45th St,10017,['result-rating three ']
El Presidente Restaurant,3938 Broadway,10032,['result-rating three half ']
Gramercy Café,184 3rd Ave,10003,['result-rating four ']
Red House,203 E 14th St Frnt A,10003,['result-rating two half ']
Pinto Restaurant,118 Christopher St,10014,['result-rating five ']
Mughlai Indian Cuisine,320 Columbus Ave,10023,['result-rating three half ']
Frankies 17 Spuntino,17 Clinton St,10002,['result-rating four half ']
Planet Hollywood,1540 Broadway,10036,['result-rating three half ']
Boqueria Soho,171 Spring St,10012,['result-rating three half ']
Sofia's of Little Italy,143 Mulberry St,10013,['result-rating five ']
Cafe Daniello's Pizzeria Restaurant,1072 2nd Ave,10022,['result-rating five ']
Il Tesoro Ristorante,1578 1st Ave,10028,['result-rating five ']
Il Piccolo Bufalo,141 Mulberry St Frnt A,10013,['result-rating four ']
Stout Restaurant & Bar,133 W 33rd St,10001,[]
Noi Due Carne,143 W 69th St,10023,[]
Black Duck Restaurant,122 E 28th St,10016,['result-rating four half ']
Aquagrill,210 Spring St,10012,['result-rating four ']
Triomphe,49 W 44th St,10036,['result-rating five ']
Ben Benson's Steak House,123 W 52nd St,10019,['result-rating three half ']
Artisanal,2 Park Ave,10016,['result-rating three half ']
Guantanamera,939 8th Ave,10019,['result-rating four ']
Brick Lane Curry House,99 2nd Ave,10003,['result-rating four ']
Tello's,198 8th Ave,10011,['result-rating four ']
Lupa Osteria Romana,170 Thompson St,10012,['result-rating four ']
Trattoria Trecolori,254 W 47th St,10036,['result-rating four half ']
Hillstone,378 Park Ave S,10010,['result-rating four ']
Carmine's Italian Restaurant - Upper West Side,2450 Broadway,10024,['result-rating four ']
db Bistro moderne,55 W 44th St,10036,['result-rating three half ']
Sidecar,915 3rd Ave,10022,['result-rating four ']
Flex Mussels,174 E 82nd St,10028,['result-rating four ']
Tre Dici,128 W 26th St,10001,['result-rating four half ']
Crema Restaurante,111 W 17th St,10011,['result-rating four ']
Le Caire,189 E 3rd St,10009,['result-rating four half ']
Les Halles,411 Park Ave S,10016,['result-rating three half ']
Extra Virgin,259 W 4th St,10014,['result-rating three half ']
The Capital Grille,155 E 42nd St,10017,['result-rating four half ']
Tao,42 E 58th St,10022,['result-rating three half ']
Peasant,194 Elizabeth St Frnt A,10012,['result-rating three half ']
Per Se Restaurant,10 Columbus Cir,10019,['result-rating four half ']
The Sea Grill,19 W 49th St,10020,['result-rating four half ']
La Carbonara,202 W 14th St,10011,['result-rating four ']
Sardi's Restaurant,234 W 44th St Ste 300,10036,['result-rating four ']
Craft,43 E 19th St,10003,['result-rating three half ']
Daniel,60 E 65th St,10065,['result-rating four half ']
CHOICE Kitchen & Cocktails,380 3rd Ave,10016,['result-rating four half ']
Il Cantinori,32 E 10th St,10003,['result-rating four ']
Il Vagabondo,351 E 62nd St,10065,['result-rating four ']
Lavagna,545 E 5th St,10009,['result-rating three half ']
Steak Frites,9 E 16th St,10003,['result-rating three ']
Sotto Cinque,1644 2nd Ave,10028,['result-rating four ']
Boqueria,53 W 19th St,10011,['result-rating four ']
Elmo,156 7th Ave,10011,['result-rating three ']
Pound & Pence,55 Liberty St,10005,['result-rating four half ']
Ellen's Stardust Diner,1650 Broadway,10019,['result-rating three half ']
Quality Meats,57 W 58th St Frnt 1,10019,['result-rating three half ']
Pylos,128 E 7th St,10009,['result-rating four ']
